City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,bandarbeyla,9.4942,50.8122,31.52000000000004,50,84,12.3,SO,1690964573
165,nizhnesortymskiy,62.4397,71.7603,28.720000000000027,46,5,7.68,RU,1690964574
166,papatowai,-46.5619,169.4708,5.03000000000003,74,98,7.9,NZ,1690964575
167,borova,50.1763,30.1043,27.410000000000025,58,100,4.03,UA,1690964575
168,acarau,-2.8856,-40.12,23.670000000000016,91,18,5.15,BR,1690964576
169,naze,28.3667,129.4833,26.510000000000048,90,100,13.66,JP,1690964577
170,lesnoy,57.6198,63.0784,25.430000000000007,48,43,3.23,RU,1690964577
171,brigantine,39.4101,-74.3646,21.110000000000014,91,2,0.45,US,1690964578
172,mumbwa,-14.9783,27.0619,18.30000000000001,56,66,6.35,ZM,1690964579
173,korsakov,46.6328,142.7813,24.910000000000025,83,100,5.16,RU,1690964580
174,lihue,21.9789,-159.3672,26.77000000000004,77,75,6.69,US,1690964580
175,thunder bay,48.4001,-89.3168,13.990000000000009,94,40,1.54,CA,1690964297
176,prokhorovka,51.0374,36.7325,24.760000000000048,52,7,2.69,RU,1690964582
177,nouadhibou,20.931,-17.0347,20.99000000000001,88,100,8.23,MR,1690964582
178,verkh-chebula,56.0308,87.6218,29.33000000000004,40,68,1.54,RU,1690964583
179,pontevedra,42.431,-8.6444,22.0,99,100,3.05,ES,1690964584
180,san luis de la loma,17.2706,-100.8939,25.430000000000007,91,100,3.4,MX,1690964584
181,teotitlan,18.1319,-97.0767,19.74000000000001,94,91,1.33,MX,1690964585
182,lincoln city,44.9582,-124.0179,13.870000000000005,85,2,2.02,US,1690964586
183,glace bay,46.1969,-59.957,14.420000000000016,96,40,2.24,CA,1690964586
184,brooks,50.5834,-111.8851,16.689999999999998,68,0,1.03,CA,1690964587
185,rosarito,32.3333,-117.0333,21.25,79,0,2.5,MX,1690964570
186,nemuro,43.3236,145.575,19.189999999999998,87,36,5.19,JP,1690964588
187,vilyuchinsk,52.9306,158.4028,17.150000000000034,86,100,2.53,RU,1690964589
188,fisterra,42.9049,-9.2629,20.420000000000016,94,100,5.79,ES,1690964590
189,iqaluit,63.7506,-68.5145,3.8500000000000227,93,40,2.06,CA,1690964447
190,holmestrand,59.4876,10.3176,19.610000000000014,44,100,1.43,NO,1690964591
191,huanggang,23.677,116.9996,33.94,76,98,4.13,CN,1690964592
192,vila do maio,15.1333,-23.2167,25.439999999999998,80,55,3.1,CV,1690964593
193,mahibadhoo,3.7833,72.9667,28.25,72,100,3.7,MV,1690964594
194,valparaiso,-33.0393,-71.6273,15.560000000000002,67,0,1.54,CL,1690964594
195,kununurra,-15.7667,128.7333,31.99000000000001,25,88,3.6,AU,1690964365
196,changji,44.0167,87.3167,36.44,15,0,3.0,CN,1690964596
197,nizhniy odes,63.6445,54.856,25.610000000000014,38,97,3.49,RU,1690964597
198,bilozerka,46.6248,32.4425,28.110000000000014,43,64,3.74,UA,1690964597
199,santa cruz,-17.8,-63.1667,19.700000000000045,88,0,2.57,BO,1690964533
200,xiditou,39.2522,117.3464,32.99000000000001,62,40,5.0,CN,1690964599
201,burao,9.5221,45.5336,25.890000000000043,54,100,13.33,SO,1690964599
202,uturoa,-16.7333,-151.4333,26.210000000000036,70,98,5.5,PF,1690964600
203,egilsstadir,65.2653,-14.3948,8.950000000000045,87,75,1.03,IS,1690964601
204,petropavlovsk-kamchatsky,53.0452,158.6483,16.33000000000004,77,75,3.0,RU,1690964601
205,waltrop,51.6333,7.4,17.110000000000014,81,40,3.6,DE,1690964602
206,krupki,54.3178,29.1358,19.370000000000005,87,100,3.12,BY,1690964603
207,bizhbulyak,53.6967,54.2642,25.24000000000001,44,38,2.43,RU,1690964603
208,ar raqqah,35.95,39.0167,34.59000000000003,26,0,7.19,SY,1690964604
209,pangoa,-12.1167,-73.0,19.660000000000025,75,51,1.46,PE,1690964605
210,tura,25.5198,90.2201,28.510000000000048,84,100,3.37,IN,1690964606
211,okhotsk,59.3833,143.3,14.960000000000036,78,100,3.74,RU,1690964606
212,hithadhoo,-0.6,73.0833,24.980000000000018,91,100,4.49,MV,1690964607
213,nagqu,31.5,92.0,15.620000000000005,54,100,2.18,CN,1690964607
214,new norfolk,-42.7826,147.0587,11.720000000000027,87,26,1.66,AU,1690964608
215,kasongo,-4.45,26.6667,31.010000000000048,19,45,4.06,CD,1690964609
216,oamaru,-45.0784,170.9801,4.650000000000034,64,19,10.04,NZ,1690964609
217,dongola,19.1667,30.4833,37.54000000000002,31,97,7.72,SD,1690964610
218,nishinoomote,30.7333,131.0,28.310000000000002,100,75,6.17,JP,1690964611
219,clinton,42.587,-82.9199,19.939999999999998,85,0,2.06,US,1690964441
220,crane,31.3974,-102.3501,28.58000000000004,35,19,5.61,US,1690964612
221,newnham,-41.3833,147.1333,10.730000000000018,91,100,6.17,AU,1690964612
222,gwanda,-20.9333,29.0,13.300000000000011,67,86,7.84,ZW,1690964613
223,kailua-kona,19.6406,-155.9956,26.980000000000018,84,0,4.12,US,1690964614
224,kill devil hills,36.0307,-75.676,24.430000000000007,71,0,4.12,US,1690964614
225,gazi,35.3253,25.0669,31.700000000000045,54,0,2.06,GR,1690964615
226,ardestan,33.3761,52.3694,38.32000000000005,9,0,4.66,IR,1690964616
227,daga,27.0753,89.8769,23.430000000000007,81,100,1.17,BT,1690964616
228,fehrbellin,52.8135,12.7644,22.25,65,10,4.56,DE,1690964617
229,isafjordur,66.0755,-23.124,7.020000000000039,100,100,3.09,IS,1690964618
230,port augusta,-32.5,137.7667,16.840000000000032,43,7,4.16,AU,1690964618
231,pandan,14.0453,124.1694,31.24000000000001,66,84,5.66,PH,1690964619
232,as sulayyil,20.4607,45.5779,41.14000000000004,7,70,5.31,SA,1690964619
233,raipur,21.2333,81.6333,26.08000000000004,94,100,7.2,IN,1690964620
234,elk city,35.412,-99.4043,28.30000000000001,57,0,4.12,US,1690964621
235,kone,-21.0595,164.8658,19.160000000000025,68,33,3.78,NC,1690964621
236,yaren,-0.5472,166.916,28.720000000000027,73,5,4.79,NR,1690964622
237,krivosheino,57.3431,83.9261,27.74000000000001,46,3,2.01,RU,1690964623
238,mount isa,-20.7333,139.5,25.870000000000005,25,40,5.14,AU,1690964623
239,lobujya,27.95,86.8167,6.740000000000009,91,100,2.29,NP,1690964624
240,qaqortoq,60.7167,-46.0333,6.050000000000011,84,4,1.12,GL,1690964624
241,jinghong,21.991,100.7341,27.52000000000004,91,100,0.58,CN,1690964626
242,sterling,39.0062,-77.4286,18.58000000000004,89,40,1.54,US,1690964560
243,wewak,-3.5534,143.6268,27.860000000000014,82,93,4.76,PG,1690964627
244,formosa do rio preto,-11.0483,-45.1931,18.57000000000005,72,6,1.38,BR,1690964628
245,bamboo flat,11.7,92.7167,31.05000000000001,74,40,8.75,IN,1690964628
246,nizhniy kuranakh,58.8353,125.4869,17.350000000000023,69,100,1.29,RU,1690964629
247,chui,-33.6971,-53.4616,15.970000000000027,96,3,2.84,UY,1690964629
248,waddan,29.1614,16.139,31.910000000000025,30,0,0.28,LY,1690964630
249,smithers,54.7804,-127.1743,10.180000000000007,93,0,1.03,CA,1690964631
250,kingston,17.997,-76.7936,28.53000000000003,88,20,3.6,JM,1690964409
251,slave lake,55.2834,-114.769,12.990000000000009,88,75,1.03,CA,1690964456
252,coquimbo,-29.9533,-71.3436,12.850000000000023,94,100,2.57,CL,1690964597
253,san patricio,28.017,-97.5169,29.360000000000014,79,82,3.1,US,1690964633
254,labrador city,52.9463,-66.9114,8.950000000000045,93,75,2.57,CA,1690964451
255,lompoc,34.6391,-120.4579,15.560000000000002,92,0,5.66,US,1690964634
256,castillos,-34.1667,-53.8333,15.78000000000003,95,1,2.06,UY,1690964635
257,bonthe,7.5264,-12.505,24.860000000000014,90,100,1.96,SL,1690964635
258,itaituba,-4.2761,-55.9836,23.870000000000005,72,60,1.03,BR,1690964638
259,mithi,24.7318,69.7981,33.73000000000002,52,53,11.2,PK,1690964638
260,port macquarie,-31.4333,152.9167,14.379999999999995,63,33,2.02,AU,1690964639
261,velikovechnoye,44.934,39.755,27.75,40,100,3.04,RU,1690964640
262,murakami,38.2333,139.4833,30.939999999999998,69,94,1.09,JP,1690964640
263,shakawe,-18.3667,21.85,20.760000000000048,33,0,5.18,BW,1690964641
264,karimnagar,18.4333,79.15,28.670000000000016,73,100,7.44,IN,1690964642
